grant_id,employee_name,title,department,grant_type,grant_date,vesting_start_date,vesting_end_date,vesting_schedule,shares_granted,strike_price,fair_value_at_grant,current_fair_value,vested_shares,unvested_shares,exercised_shares,total_grant_value,expense_recognized_to_date,remaining_expense_to_recognize,current_intrinsic_value,status
EQT-00001,Sarah Chen,CEO,Executive Leadership,Stock Options,2022-01-07,2023-01-07,2026-01-06,"25% after 1yr, then monthly over 3yrs",39291,5.94,6.72,8.25,37253,2038,0,263879.02,253617.06,10261.96,85878.21,Active
EQT-00002,Michael Rodriguez,CFO,Executive Leadership,Restricted Stock Units (RSUs),2022-07-27,2023-07-27,2026-07-26,"25% after 1yr, then monthly over 3yrs",28836,10.25,12.8,21.82,21974,6862,0,369075.44,303205.72,65869.71,254301.8,Active
EQT-00003,Jennifer Park,VP HR,Human Resources,Stock Options,2023-04-15,2024-04-14,2027-04-14,"25% after 1yr, then monthly over 3yrs",17689,12.78,15.46,30.71,9188,8501,0,273450.1,174894.13,98555.98,164710.88,Active
EQT-00004,David Martinez,VP Sales,Sales & Marketing,Performance Shares,2022-03-21,2023-03-21,2026-03-20,"25% after 1yr, then monthly over 3yrs",39271,12.73,17.4,26.75,34580,4691,0,683331.11,622116.03,61215.08,484714.53,Active
EQT-00005,Emily Thompson,VP Product,Product Development,Restricted Stock Units (RSUs),2021-11-25,2022-11-25,2025-11-24,"25% after 1yr, then monthly over 3yrs",22871,9.3,11.36,15.49,22595,276,0,259741.31,257396.42,2344.89,139847.0,Active
EQT-00006,Employee 6,Director,Sales & Marketing,Performance Shares,2022-11-24,2023-11-24,2026-11-23,"25% after 1yr, then monthly over 3yrs",3599,5.82,6.73,16.37,2342,1257,0,24211.84,17873.04,6338.79,24707.52,Active
EQT-00007,Employee 7,Director,Finance,Performance Shares,2025-03-14,2026-03-14,2029-03-13,"25% after 1yr, then monthly over 3yrs",6341,8.94,11.07,21.08,0,6341,0,70204.99,10823.27,59381.72,0.0,Active
EQT-00008,Employee 8,Senior Manager,Customer Service,Stock Options,2023-01-25,2024-01-25,2027-01-24,"25% after 1yr, then monthly over 3yrs",7634,7.83,8.8,10.68,4530,3104,0,67189.88,46706.3,20483.58,12895.67,Active
EQT-00009,Employee 9,Senior Manager,Product Development,Restricted Stock Units (RSUs),2021-04-03,2022-04-03,2025-04-02,"25% after 1yr, then monthly over 3yrs",1482,9.26,11.65,15.19,1482,0,0,17258.25,17258.25,0.0,8789.76,Active
EQT-00010,Employee 10,Director,Customer Service,Restricted Stock Units (RSUs),2020-11-27,2021-11-27,2024-11-26,"25% after 1yr, then monthly over 3yrs",8263,9.36,13.47,31.14,8263,0,0,111339.6,111339.6,0.0,180016.32,Active
EQT-00011,Employee 11,Senior Manager,Executive Leadership,Restricted Stock Units (RSUs),2022-12-02,2023-12-02,2026-12-01,"25% after 1yr, then monthly over 3yrs",1908,6.38,8.66,11.38,1227,681,0,16519.84,12103.08,4416.76,6134.49,Active
EQT-00012,Employee 12,Director,IT & Systems,Restricted Stock Units (RSUs),2024-10-17,2025-10-17,2028-10-16,"25% after 1yr, then monthly over 3yrs",3561,14.85,18.7,40.55,32,3529,0,66606.33,17114.13,49492.2,822.35,Active
EQT-00013,Employee 13,Director,Product Development,Stock Options,2023-06-13,2024-06-12,2027-06-12,"25% after 1yr, then monthly over 3yrs",9854,10.99,14.25,35.48,4580,5274,0,140424.93,84059.92,56365.01,112188.99,Active
EQT-00014,Employee 14,Principal Engineer,Customer Service,Stock Options,2021-05-17,2022-05-17,2025-05-16,"25% after 1yr, then monthly over 3yrs",3746,14.98,17.71,35.96,3746,0,0,66335.31,66335.31,0.0,78599.65,Active
EQT-00015,Employee 15,Senior Manager,Product Development,Restricted Stock Units (RSUs),2025-04-03,2026-04-03,2029-04-02,"25% after 1yr, then monthly over 3yrs",9339,6.33,7.29,9.68,0,9339,0,68047.84,9545.6,58502.24,0.0,Active
EQT-00016,Employee 16,Senior Manager,Manufacturing,Performance Shares,2020-12-04,2021-12-04,2024-12-03,"25% after 1yr, then monthly over 3yrs",3347,5.29,6.98,8.91,3347,0,0,23347.58,23347.58,0.0,12128.47,Active
EQT-00017,Employee 17,Senior Manager,Quality Assurance,Restricted Stock Units (RSUs),2023-03-05,2024-03-04,2027-03-04,"25% after 1yr, then monthly over 3yrs",5567,11.2,16.0,37.66,3103,2464,0,89073.34,59505.94,29567.4,82095.99,Active
EQT-00018,Employee 18,Director,Legal & Compliance,Performance Shares,2023-10-23,2024-10-22,2027-10-22,"25% after 1yr, then monthly over 3yrs",5455,11.95,16.44,27.55,1868,3587,0,89688.47,45467.07,44221.4,29138.8,Active
EQT-00019,Employee 19,Senior Manager,Customer Service,Restricted Stock Units (RSUs),2022-11-04,2023-11-04,2026-11-03,"25% after 1yr, then monthly over 3yrs",4783,11.17,14.2,33.48,3201,1582,0,67931.69,51090.29,16841.4,71415.61,Active
EQT-00020,Employee 20,Principal Engineer,Manufacturing,Restricted Stock Units (RSUs),2021-08-20,2022-08-20,2025-08-19,"25% after 1yr, then monthly over 3yrs",8305,10.13,11.59,16.25,8305,0,0,96285.42,96285.42,0.0,50771.15,Active
EQT-00021,Employee 21,Principal Engineer,IT & Systems,Restricted Stock Units (RSUs),2023-02-18,2024-02-18,2027-02-17,"25% after 1yr, then monthly over 3yrs",4853,9.77,11.8,25.83,2772,2081,0,57271.32,38857.0,18414.32,44511.44,Active
EQT-00022,Employee 22,Principal Engineer,Manufacturing,Performance Shares,2025-01-27,2026-01-27,2029-01-26,"25% after 1yr, then monthly over 3yrs",6281,12.88,16.84,29.47,0,6281,0,105757.13,19682.58,86074.55,0.0,Active
EQT-00023,Employee 23,Senior Manager,Executive Leadership,Restricted Stock Units (RSUs),2023-11-05,2024-11-04,2027-11-04,"25% after 1yr, then monthly over 3yrs",1866,12.48,17.78,26.28,616,1250,0,33180.97,16521.36,16659.61,8502.91,Active
EQT-00024,Employee 24,Principal Engineer,Product Development,Stock Options,2024-04-20,2025-04-20,2028-04-19,"25% after 1yr, then monthly over 3yrs",7621,7.34,10.24,21.41,1340,6281,0,78009.4,29795.26,48214.14,18855.9,Active
EQT-00025,Employee 25,Principal Engineer,Manufacturing,Restricted Stock Units (RSUs),2020-12-27,2021-12-27,2024-12-26,"25% after 1yr, then monthly over 3yrs",3569,12.85,14.89,27.28,3569,0,0,53134.67,53134.67,0.0,51514.66,Active
EQT-00026,Employee 26,Director,Executive Leadership,Restricted Stock Units (RSUs),2020-12-23,2021-12-23,2024-12-22,"25% after 1yr, then monthly over 3yrs",9367,14.04,16.48,40.14,9367,0,0,154371.68,154371.68,0.0,244417.84,Active
EQT-00027,Employee 27,Director,Customer Service,Restricted Stock Units (RSUs),2024-08-18,2025-08-18,2028-08-17,"25% after 1yr, then monthly over 3yrs",8816,11.72,17.07,32.97,571,8245,0,150497.05,44940.09,105556.96,12137.75,Active
EQT-00028,Employee 28,Senior Manager,Product Development,Performance Shares,2021-08-27,2022-08-27,2025-08-26,"25% after 1yr, then monthly over 3yrs",4548,10.55,11.73,29.23,4548,0,0,53356.41,53356.41,0.0,84956.97,Active
EQT-00029,Employee 29,Principal Engineer,Customer Service,Restricted Stock Units (RSUs),2024-08-09,2025-08-09,2028-08-08,"25% after 1yr, then monthly over 3yrs",5492,13.49,15.09,23.08,401,5091,0,82873.0,25264.76,57608.25,3847.9,Active
EQT-00030,Employee 30,Senior Manager,Product Development,Stock Options,2023-08-10,2024-08-09,2027-08-09,"25% after 1yr, then monthly over 3yrs",4080,12.94,18.8,30.92,1677,2403,0,76706.91,42828.03,33878.89,30161.57,Active
