compliance_id,compliance_area,regulatory_body,last_review_date,next_review_date,status,num_findings,num_critical_findings,certification_status,responsible_party,last_audit_score,notes
CMP-00001,SOX Financial Controls,SEC,2025-05-06,2025-08-04,Minor Issues,3,0,N/A,Sarah Chen,86.8,Remediation plan in progress
CMP-00002,EPA Environmental,EPA,2025-01-28,2025-07-27,Action Required,2,1,Certified,Nicole Sanders,85.0,Remediation plan in progress
CMP-00003,Employment Law,DOL/EEOC,2025-02-15,2025-05-16,Action Required,4,0,Certified,Daniel Wright,82.7,Remediation plan in progress
CMP-00004,Export Control (ITAR/EAR),State Dept/Commerce,2025-02-18,2025-08-17,Compliant,0,0,Renewal Due,David Martinez,86.5,Regular compliance monitoring
CMP-00005,ISO 9001 Quality,ISO,2024-11-06,2025-05-05,Compliant,0,0,In Progress,Rachel Green,99.6,Regular compliance monitoring
CMP-00006,ISO 9001 Quality,ISO,2025-06-22,2025-12-19,Minor Issues,4,0,Certified,Diana Lopez,82.8,Remediation plan in progress
CMP-00007,Employment Law,DOL/EEOC,2024-11-07,2025-11-07,Compliant,0,0,N/A,Tom Bradley,94.1,Regular compliance monitoring
CMP-00008,ISO 14001 Environmental,ISO,2024-10-29,2025-04-27,Compliant,0,0,In Progress,Jennifer Park,81.6,Regular compliance monitoring
CMP-00009,Export Control (ITAR/EAR),State Dept/Commerce,2025-02-06,2025-05-07,Compliant,0,0,Certified,Tom Bradley,85.3,Regular compliance monitoring
CMP-00010,EPA Environmental,EPA,2025-02-24,2025-05-25,Compliant,0,0,Certified,Rachel Green,90.4,Regular compliance monitoring
CMP-00011,GDPR Data Privacy,EU Commission,2025-05-08,2025-11-04,Action Required,4,0,N/A,David Martinez,78.8,Remediation plan in progress
CMP-00012,ISO 9001 Quality,ISO,2025-10-03,2026-01-01,Compliant,0,0,N/A,Brian Cooper,99.1,Regular compliance monitoring
CMP-00013,Product Safety (UL/CE),UL/CE Certification Bodies,2025-07-25,2026-07-25,Minor Issues,6,0,N/A,Nicole Sanders,87.5,Remediation plan in progress
CMP-00014,ISO 9001 Quality,ISO,2025-06-03,2025-11-30,Compliant,0,0,Certified,Jessica Martinez,98.2,Regular compliance monitoring
CMP-00015,ISO 14001 Environmental,ISO,2025-07-01,2026-07-01,Compliant,0,0,Renewal Due,Jessica Martinez,87.9,Regular compliance monitoring
CMP-00016,CCPA Data Privacy,California AG,2025-08-01,2025-10-30,Compliant,0,0,Renewal Due,Kevin O'Brien,92.8,Regular compliance monitoring
CMP-00017,Employment Law,DOL/EEOC,2024-12-07,2025-12-07,Compliant,0,0,Certified,Kevin O'Brien,93.8,Regular compliance monitoring
CMP-00018,CCPA Data Privacy,California AG,2024-12-25,2025-03-25,Compliant,0,0,N/A,Tom Bradley,85.0,Regular compliance monitoring
CMP-00019,CCPA Data Privacy,California AG,2025-01-08,2025-07-07,Minor Issues,4,0,In Progress,Robert Kim,76.4,Remediation plan in progress
CMP-00020,Employment Law,DOL/EEOC,2024-11-16,2025-11-16,Compliant,0,0,Renewal Due,Emily Thompson,97.2,Regular compliance monitoring
CMP-00021,CCPA Data Privacy,California AG,2025-06-30,2026-06-30,Compliant,0,0,N/A,Jennifer Park,96.6,Regular compliance monitoring
