quarter,sales_rep,region,forecast_amount,actual_amount,attainment_pct,pipeline_value,weighted_pipeline,num_opportunities,avg_deal_size,forecast_category,confidence_level
Q4 2023,David Martinez,International,569164.99,556381.54,97.8,2122519.85,955133.93,15,25871.14,Pipeline,High
Q4 2023,Chris Patel,Central,365865.23,281138.57,76.8,1439045.89,647570.65,32,15244.38,Pipeline,High
Q4 2023,Jessica Martinez,Central,601238.91,663870.61,110.4,1244481.9,560016.86,29,25051.62,Best Case,Medium
Q1 2024,David Martinez,Central,529406.5,530623.02,100.2,1890005.99,850502.7,21,29411.47,Pipeline,Medium
Q1 2024,Chris Patel,Central,1064372.4,983095.23,92.4,2799057.2,1259575.74,33,66523.27,Commit,Medium
Q1 2024,Jessica Martinez,International,828587.29,704509.95,85.0,2829530.92,1273288.91,27,46032.63,Best Case,High
Q2 2024,David Martinez,East,801654.63,722714.52,90.2,2721547.05,1224696.17,17,38174.03,Pipeline,Medium
Q2 2024,Chris Patel,East,622698.01,762682.54,122.5,1429350.25,643207.61,36,34594.33,Pipeline,High
Q2 2024,Jessica Martinez,East,1140795.16,1299334.28,113.9,3401826.15,1530821.77,36,54323.58,Commit,Low
Q3 2024,David Martinez,East,417218.59,466082.84,111.7,1452647.03,653691.16,35,27814.57,Best Case,High
Q3 2024,Chris Patel,East,830423.31,813510.23,98.0,3020256.03,1359115.22,20,37746.51,Commit,Low
Q3 2024,Jessica Martinez,Central,798563.07,663349.45,83.1,2794496.02,1257523.21,30,36298.32,Commit,High
Q4 2024,David Martinez,East,984828.57,947436.44,96.2,3722020.76,1674909.34,24,39393.14,Best Case,Low
Q4 2024,Chris Patel,Central,836971.15,947364.44,113.2,3302048.96,1485922.03,40,49233.6,Best Case,Low
Q4 2024,Jessica Martinez,West,307985.43,377152.1,122.5,714260.77,321417.35,43,13390.67,Pipeline,Medium
Q1 2025,David Martinez,West,309764.85,334048.69,107.8,624884.27,281197.92,20,20650.99,Commit,Low
Q1 2025,Chris Patel,East,420529.55,488165.35,116.1,1509977.29,679489.78,17,28035.3,Pipeline,High
Q1 2025,Jessica Martinez,Central,494958.8,506717.21,102.4,1656525.52,745436.48,42,24747.94,Pipeline,High
Q2 2025,David Martinez,Central,409328.4,466365.81,113.9,1182185.23,531983.35,28,24078.14,Commit,Low
Q2 2025,Chris Patel,Central,1184899.91,926469.0,78.2,3702899.21,1666304.65,17,56423.81,Best Case,Medium
Q2 2025,Jessica Martinez,West,600428.98,494408.11,82.3,1524729.96,686128.48,42,33357.17,Pipeline,Low
Q3 2025,David Martinez,International,543727.08,596434.89,109.7,1092815.8,491767.11,16,25891.77,Pipeline,High
Q3 2025,Chris Patel,Central,1051264.34,937345.81,89.2,2518371.3,1133267.09,34,55329.7,Commit,Low
Q3 2025,Jessica Martinez,East,587950.44,682610.85,116.1,1479661.72,665847.78,22,26725.02,Commit,Medium
